,mol_path,group,msg
2757,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAVZIS_2.xyz,metal,NO_METAL
2758,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAVZOY_0.xyz,metal,NO_METAL
2759,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAVZOY_1.xyz,metal,NO_METAL
2760,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAVZOY_2.xyz,metal,NO_METAL
2761,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAVZUE_0.xyz,metal,NO_METAL
2762,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAVZUE_1.xyz,metal,NO_METAL
2763,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAVZUE_2.xyz,metal,NO_METAL
2764,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAXGIE_0.xyz,valid,VALID
2765,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAXTOY_0.xyz,metal,NO_METAL
2766,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAXTUE_0.xyz,valid,VALID
2767,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAXVEQ_0.xyz,metal,NO_METAL
2768,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAXVIU_0.xyz,metal,NO_METAL
2769,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAXVUG_0.xyz,valid,VALID
2770,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/MAXWER_0.xyz,topolocial,NOT_CONNECTED_MOLECULE
