,file,read,order,extract_mol,status
195,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AVUQUF.cif,,,,
196,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AWAKOA.cif,,,,
197,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AVIXEJ.cif,1.7966570854187012,0.0017290115356445312,,TIMEOUT
198,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AWALAN.cif,,,,
199,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AWALER.cif,,,,
200,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AWALIV.cif,,,,
201,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AWALOB.cif,,,,
202,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AWALUH.cif,,,,
203,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AWAMAO.cif,,,,
204,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AVIXIN.cif,1.1389293670654297,0.0021352767944335938,,TIMEOUT
205,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AWAMIW.cif,,,,
206,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AWEKUL.cif,,,,
207,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AWEYOT.cif,,,,
208,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AWIQEC.cif,,,,
209,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AWOFOK.cif,,,,
210,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AWOMOP.cif,,,,
211,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AVIXOT.cif,2.5195460319519043,0.001963376998901367,,TIMEOUT
212,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AVIXUZ.cif,1.940706729888916,0.0016379356384277344,,TIMEOUT
213,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AWUNOX.cif,0.919194221496582,0.0003085136413574219,22.90451431274414,OK
214,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AXAHUF.cif,,,,
215,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AXERAX.cif,,,,
216,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AXILEB.cif,,,,
217,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AXILIF.cif,0.8552837371826172,0.007935762405395508,,UNORDERED
218,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AXOFAX.cif,,,,
219,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AXOFEB.cif,,,,
220,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AXOFIF.cif,,,,
